Country,Emissions Classifier,Emissions Percentile,2019 CO2 Level (Training Data),CO2Avg (Metric Tons/Capita),CO2Growth Avg.,GDP Avg. (Billion $),GDP Growth Avg.,Population Avg. (million),Population Growth Avg.,HDI Avg.,HDI Growth Avg.,"Average % of GDP of Ag, For, Fish(Agriculture)","Average % of GDP of Ag, For, Fish(Agriculture) Growth Rate Avg.",Export Fuel and Mining Avg.,Export Fuel and Mining Growth Rate Avg.,Export Manufactures Avg.,Export Manufactures Growth Rate Avg.,Import Fuel and Mining Avg.,Import Fuel and Mining Growth Avg.,Import Manufactures Millions($) Avg.,Import Manufactures Millions($) Growth Avg.,Inflation Rate Avg.,Inflation Rate Growth Rate Avg.
Afghanistan,Low,0.095,0.206928,0.216,-0.0579,536.92,-0.0524,35.33,0.0287,0.5034,0.005192,-0.01883,-0.01555,46,0,56.4,-9.31%,1515.2,-16.09%,2053.6,27.22%,279.97%,-197.46%
Angola,Low,0.326,0.966977,1.139,-0.0761,4093.38,-0.1118,28.86,0.0344,0.5758,0.009563,0.21214,0.047472,38023.8,-6.80%,938,0,1861.4,4.46%,11426.6,-10.74%,1931.97%,41.42%
Albania,Low,0.416,1.913143,1.834,0.0293,4494.83,0.0305,2.88,-0.002,0.789,0.002547,-0.31214,-0.0123,532.2,-6.84%,1524,11.36%,698.2,1.38%,3456.6,6.82%,176.97%,-134.76%
United Arab Emirates,High,0.984,20.62837,20.991,0.007,41008.24,0.004,9.39,0.0093,0.8098,0.003969,0.01585,0.019251,89480.2,8.00%,103127.8,6.96%,15019,15.77%,164386.8,1.69%,261.38%,40.78%
Argentina,Medium,0.642,4.033059,4.167,-0.0183,13064.46,-0.0294,43.59,0.0106,0.84,0.001675,-0.43496,-0.07539,3612,-11.41%,16063.8,-12.06%,8482.8,-7.20%,50673.4,-1.57%,0,0
Armenia,Low,0.411,1.880519,1.824,-0.0027,3864.08,0.0165,2.93,0.0037,0.7676,0.002355,-0.82594,-0.05775,703.4,7.49%,496.2,14.41%,764.6,-4.60%,2276,9.42%,175.98%,-34.02%
Antigua and Barbuda,Medium,0.705,5.440873,5.291,0.0136,15009.76,0.0497,0.09,0.0102,0.7654,0.00314,0.01603,-0.0362,1,0,25,9.42%,50.4,-41.99%,307.4,13.92%,104.17%,-161.22%
Australia,High,0.963,15.53159,15.726,-0.0118,56043.1,-0.0395,24.21,0.0155,0.9388,0.002566,0.04737,0.011729,137852,3.26%,27180.4,-0.42%,29391.4,-0.87%,159007.8,1.06%,182.67%,-0.49%
Austria,Medium,0.832,7.167987,7.289,-0.0171,47989.16,-0.0007,8.71,0.0084,0.917,0.003515,-0.01412,-0.02273,8777.6,1.26%,140451,1.62%,20723,-0.87%,133099,2.44%,149.47%,13.00%
Azerbaijan,Medium,0.553,3.261542,3.314,-0.0071,5231.86,-0.1322,9.75,0.0109,0.7486,0.005122,-0.02138,-0.00947,17026.4,-5.82%,423.8,-0.46%,522.6,30.51%,6720,1.20%,660.98%,56.11%
Burundi,Low,0.011,0.050159,0.046,0.0366,266.72,-0.0193,10.5,0.0321,0.4356,-0.00043,-1.18926,-0.05971,9,43.54%,21,2.12%,145,0.90%,414.8,2.88%,574.91%,10.58%
Belgium,Medium,0.874,8.152468,8.229,-0.0122,44457.06,0,11.32,0.0049,0.9246,0.00304,-0.00695,-0.02743,50891.6,-1.24%,323101.8,1.24%,69317,-0.79%,297260.2,1.84%,141.09%,50.31%
Benin,Low,0.226,0.658105,0.623,0.06,1166.78,-0.0061,10.88,0.028,0.5338,0.007181,0.48926,0.020492,46.2,16.08%,173,35.76%,527.6,8.58%,1005.4,-0.82%,25.80%,-243.43%
Burkina Faso,Low,0.074,0.207295,0.195,0.0412,734.78,-0.0012,18.66,0.0296,0.429,0.015628,-0.53926,-0.02443,188.6,26.85%,122.8,-1.96%,947.8,3.60%,2148.8,0.70%,86.93%,-60.04%
Bangladesh,Low,0.168,0.49285,0.469,0.0497,1406.16,0.1037,157.95,0.011,0.6042,0.015447,-0.45546,-0.03465,238.6,-7.91%,32739.2,10.71%,4818,18.87%,32186.4,12.59%,598.90%,-5.78%
Bulgaria,Medium,0.763,5.852987,6.001,0.0113,8071.79,0.0372,7.13,-0.0067,0.81,0.002981,-0.23479,-0.06242,6931.6,-1.56%,16471,6.68%,7887,-2.12%,20901.6,5.32%,51.09%,-2.06%
Bahrain,High,0.989,20.19809,21.206,-0.0227,23612.17,-0.0067,1.44,0.0361,0.8454,0.009002,-0.00237,0.006283,11553,1.32%,4420,-6.00%,1785.6,23.33%,8827,8.21%,215.15%,0.22%
"Bahamas, The",Medium,0.779,6.102199,6.138,-0.0795,31848.13,0.0298,0.38,0.0099,0.8094,0.001486,-0.03273,-0.06838,111,-4.47%,315.4,-5.25%,611.8,-0.11%,1720.2,1.91%,136.26%,-95.03%
Bosnia and Herzegovina,Medium,0.8,6.544343,6.29,0.0159,5303.93,0.0298,3.39,-0.0127,0.7684,0.005771,-0.01312,-0.03436,1027.6,3.94%,3937.6,7.85%,1823.8,1.65%,6528.2,5.21%,-25.80%,171.28%
Belarus,Medium,0.774,6.28574,6.031,-0.003,6298.77,-0.0643,9.49,0.0004,0.817,0.002944,-0.14258,-0.01307,8330,-1.60%,15150.2,1.63%,10855.8,-0.46%,17611.6,-0.10%,1087.90%,-21.43%
Belize,Low,0.389,1.697435,1.697,0.0336,4858.58,0.0179,0.37,0.0207,0.712,0.003408,-0.83306,-0.07765,30.6,-14.13%,35.6,15.91%,126.2,2.44%,610.6,8.51%,0,0
Bolivia,Low,0.437,1.977042,1.942,0.0249,3218.84,0.0384,11.03,0.0149,0.7026,0.008624,0.34834,0.027121,6303.6,-4.78%,509.6,-0.31%,1163.4,2.48%,7616.4,2.27%,370.88%,-16.29%
Brazil,Low,0.453,2.133372,2.239,-0.0342,9743.39,-0.0728,206.14,0.0083,0.7586,0.00238,0.01896,-0.00608,45976.4,3.73%,71489.4,-2.07%,34030.2,-3.15%,134436,-2.46%,624.19%,-2.55%
Barbados,Medium,0.658,4.394516,4.437,-0.0384,17010.19,0.015,0.29,0.0016,0.8096,0.000743,0,0,110.6,-0.26%,268.4,3.67%,349.6,-2.53%,909.2,-1.76%,205.45%,-27.64%
Brunei Darussalam,High,0.974,16.71777,15.829,-0.012,32049.68,-0.0825,0.42,0.0119,0.8378,-0.000715,0.03098,0.066483,6191.6,-8.45%,553.8,18.94%,314,3.49%,2514,6.65%,-24.19%,22.12%
Bhutan,Low,0.363,1.724877,1.582,0.0785,2973.1,0.052,0.74,0.0121,0.6356,0.01248,0.29536,0.024648,201.5,0,236,0,219,0,599.5,0,474.32%,-9.47%
Botswana,Medium,0.568,3.596592,3.464,0.0543,7136.2,0.0038,2.17,0.0179,0.7208,0.008146,0.05144,-0.03115,319.8,-34.97%,6210.8,-0.96%,1010.6,-9.90%,4693.8,-2.59%,336.51%,-9.66%
Central African Republic,Low,0.021,0.070015,0.069,0.0092,426.18,0.0403,4.55,0.0096,0.3822,0.017051,-0.54886,-0.00758,7,0,48.2,0,7.8,101.00%,258.6,36.13%,540.80%,39.64%
Canada,High,0.953,15.56845,15.527,-0.0047,45709.12,-0.0278,36.17,0.011,0.9232,0.003265,0.02267,-0.02873,119311.2,-0.06%,209700.2,0.85%,46494.6,-2.24%,333458.2,0.78%,166.51%,28.60%
Switzerland,Medium,0.674,4.49196,4.653,-0.0414,85454.92,-0.0045,8.36,0.0103,0.655,0.002443,-0.01325,-0.00915,7869.8,-6.23%,210323,2.43%,14619,-6.51%,167342.4,2.60%,-2.43%,1652.19%
Chile,Medium,0.668,4.560195,4.586,-0.0055,14577.14,-0.0017,18.23,0.0128,0.844,0.005516,-0.03722,0.006235,36899.4,-0.76%,9295.8,0.21%,11684.2,-2.72%,48413.6,-0.10%,349.43%,22.42%
China,Medium,0.821,7.324368,7.187,0.0016,8493.85,0.0659,1378.66,0.0052,0.7442,0.008423,-0.32009,-0.04908,62205,7.17%,2150353.8,2.51%,443085.6,3.72%,1148391.4,3.16%,180.53%,-0.57%
Cote d'Ivoire,Low,0.158,0.395369,0.404,0.0046,2113.53,0.0327,23.84,0.0256,0.8418,0.004302,1.06136,0.053546,1940.8,-4.27%,1555,-11.91%,2157.6,-0.21%,5709.4,-2.78%,69.37%,0.27%
Cameroon,Low,0.142,0.341811,0.345,0.0042,1490.93,0.0041,23.94,0.0269,0.5518,0.009562,-0.06541,-0.00286,1814.2,64.45%,294.8,-2.30%,1093.6,-16.27%,3424.8,6.72%,141.98%,1.87%
"Congo, Dem. Rep.",Low,0.005,0.033922,0.037,-0.1909,496.66,0.0367,78.85,0.0333,0.573,0.010225,0.09879,-0.00334,6893.75,0,4982.75,0,654.5,0,5177.75,0,162.44%,0
"Congo, Rep.",Low,0.247,0.663456,0.697,-0.0735,2610.33,-0.1085,4.99,0.0256,0.4696,0.013075,0.47238,0.086314,4276.8,33.17%,4454.6,5.48%,248.4,39.14%,7156.2,-11.06%,177.49%,47.61%
Colombia,Low,0.379,1.620414,1.66,-0.0103,6653.46,-0.0494,48.24,0.0132,0.7592,0.005872,0.15575,0.026732,23307.4,-4.17%,8266.4,-3.20%,5597.2,-8.14%,39426.2,-1.77%,459.09%,19.78%
Comoros,Low,0.116,0.292042,0.263,0.043,1356.31,-0.0155,0.8,0.0234,0.5474,0.003664,0.74172,0.017687,0,0,7.4,88.89%,10.8,51.39%,104.6,13.83%,0,0
Cabo Verde,Low,0.305,1.105108,1.038,0.0257,3333.8,-0.004,0.53,0.0122,0.658,0.004903,-0.54476,-0.10059,0,0,8.8,20.80%,90.2,-4.80%,403.4,8.69%,10.50%,-307.90%
Costa Rica,Low,0.368,1.648311,1.628,0.0008,11842.43,0.0294,4.9,0.0106,0.8012,0.00503,-0.08081,-0.01361,147.2,2.07%,5694.2,-1.58%,1878.2,-3.32%,12085,-1.68%,183.01%,-1912.72%
Cyprus,Medium,0.768,6.035093,6.015,0.0167,26224.12,0.0071,1.17,0.0078,0.8932,0.003603,-0.02338,-0.03833,712.4,25.86%,2345.8,30.96%,1652.6,7.01%,5575.6,18.99%,-58.28%,58.99%
Czech Republic,High,0.905,9.607988,9.638,-0.0028,20070.36,0.0262,10.57,0.0022,0.5134,0.017371,-0.09536,-0.04151,6749.8,-2.57%,157375.2,5.55%,15013.6,-1.80%,130435.2,6.99%,118.74%,56.21%
Germany,Medium,0.889,8.668068,8.937,-0.0244,44729.34,0.0035,82.12,0.0055,0.7938,0.007628,-0.04311,-0.07995,69135.2,-1.22%,1243852.4,2.27%,153651.2,-4.06%,865402.2,3.70%,103.09%,26.86%
Dominica,Low,0.495,2.516836,2.495,0.0088,7591.54,0.0161,0.07,0.0017,0.7388,-0.000266,-0.46962,-0.05625,4.5,0,23,0,41.5,0,108.5,0,27.65%,-360.33%
Denmark,Medium,0.753,5.8765,5.994,-0.0449,57933.97,-0.0022,5.72,0.0063,0.9356,0.001285,-0.07118,-0.07791,7485,-6.41%,70940.6,2.07%,7595,-3.54%,68482.2,2.65%,64.54%,47.34%
Dominican Republic,Low,0.458,2.310477,2.264,0.0208,7294.25,0.0497,10.4,0.0113,0.7416,0.009037,-0.00913,-0.00658,663,-2.42%,5082.6,2.25%,3492.6,-0.11%,11322,6.57%,245.87%,18.95%
Algeria,Medium,0.574,3.586568,3.575,0.0101,4373.82,-0.0654,40.56,0.0206,0.742,0.004625,0.31756,0.035378,38797.2,-6.10%,1216.8,36.87%,3067.4,-3.82%,35882.6,-4.19%,479.20%,10.23%
Ecuador,Low,0.474,2.367605,2.405,-0.0172,6214.22,0.0072,16.5,0.0169,0.76,0.00213,-0.03545,0.003561,8449.2,-3.75%,1291.8,-2.55%,4608.6,-1.19%,14703,-1.54%,189.55%,-48.72%
"Egypt, Arab Rep.",Low,0.484,2.480817,2.459,0.0099,3088.76,-0.0659,94.44,0.0217,0.6942,0.005219,-0.02254,-0.0011,6161.8,4.17%,12596.6,1.31%,13450,7.61%,35131.4,2.90%,1563.25%,20.99%
Spain,Medium,0.711,5.453094,5.438,0.0107,28029.85,0.0058,46.56,0.0008,0.4258,0.0005,0.04425,0.009255,33861.4,3.04%,218969.6,2.27%,62921.2,-0.72%,237573.2,5.39%,55.54%,-203.60%
Estonia,High,0.926,12.39367,12.319,-0.04,19870.33,0.0325,1.32,0.0006,0.4554,0.004505,-0.18865,-0.07909,1872,13.50%,10319.8,0.35%,2153.2,10.60%,12147.2,0.74%,128.07%,465.71%
Ethiopia,Low,0.058,0.14438,0.138,0.0611,692.93,0.0823,103.63,0.0275,0.5878,0.017783,-1.4817,-0.0582,11,-14.19%,285.8,0.64%,1908.6,-1.28%,11052.8,1.92%,951.99%,18.22%
Finland,Medium,0.868,8.124576,8.087,-0.0298,46618.26,-0.0033,5.49,0.0028,0.738,0.003819,-0.00233,0.001058,9443.8,0.78%,48699,3.03%,14309.8,-0.49%,45764.4,3.17%,60.56%,-53.19%
Fiji,Low,0.426,2.022834,1.892,0.0938,5813.21,0.0501,0.87,0.0041,0.4672,0.013506,0.56161,0.001213,227,-3.62%,249.4,5.36%,549.6,1.26%,1518.6,2.45%,263.73%,54.43%
France,Medium,0.679,4.613868,4.658,-0.0211,39388.91,-0.0083,66.68,0.0029,0.9324,0.001933,0.0185,0.021811,29302.6,-0.34%,429481.6,0.77%,82109,-3.92%,470339.8,1.50%,72.23%,159.45%
"Micronesia, Fed. Sts.",Low,0.353,1.53901,1.469,0.0362,3150.15,0.0335,0.11,0.0124,0.74,0.002979,-0.47808,-0.03721,0,0,0,0,0,0,0,0,35.95%,6.65%
Gabon,Medium,0.505,2.324144,2.606,-0.0794,7844.4,-0.0485,2,0.0313,0.8954,0.002018,0.36295,0.092139,5137.2,-2.24%,203.8,13.41%,136.8,8.44%,2243.6,-4.26%,277.19%,20.78%
United Kingdom,Medium,0.742,5.603286,5.858,-0.0556,43839.21,-0.0026,65.57,0.0072,0.7064,0.007126,-0.03398,-0.02685,55418.6,-0.73%,332560.4,1.13%,76076.4,-2.13%,464632,1.95%,153.56%,41.19%
Georgia,Low,0.489,2.486281,2.491,0.0356,4379.07,0.0001,3.73,0.0005,0.4762,0.008431,-0.3528,-0.05295,507.8,17.19%,1287,3.44%,1618,3.37%,5238.2,4.28%,357.16%,-117.90%
Ghana,Low,0.184,0.538528,0.523,-0.0102,2018.69,-0.0151,28.49,0.0227,0.941,0.002342,-0.28944,-0.0246,3755.4,30.18%,1059,-3.61%,346.8,4.38%,8656.4,-0.69%,1405.50%,-4.15%
Guinea,Low,0.1,0.241234,0.232,0.0438,819.89,0.0395,11.76,0.0265,0.653,0.01146,0.96042,0.044716,2174.2,59.58%,158.8,-30.50%,386.6,33.40%,1989.8,36.14%,896.11%,1.47%
"Gambia, The",Low,0.111,0.251374,0.25,0.0199,674.28,0.0054,2.15,0.0303,0.6896,0.007038,-0.51745,-0.0585,1.2,0,30.6,-30.11%,100.2,14.75%,153.2,14.90%,690.81%,3.46%
Greece,Medium,0.789,6.143576,6.234,-0.0168,19171.98,-0.0235,10.8,-0.0043,0.5972,0.006744,0.01025,0.011419,13521.4,3.61%,11700.2,4.36%,17568.8,1.13%,29101.6,4.10%,-42.52%,-51.57%
Grenada,Medium,0.5,2.612588,2.521,-0.0266,9542.91,0.0572,0.11,0.006,0.8772,0.003218,-0.17924,0.000382,0.2,0,10,11.92%,79.4,2.98%,198,9.70%,37.28%,322.25%
Guatemala,Low,0.311,1.073453,1.041,0.047,4176.01,0.0466,16.58,0.0203,0.77,0.003403,-0.12386,-0.01846,1043.4,-7.02%,4500.6,2.73%,3088.8,1.83%,12166.2,2.57%,368.64%,3.81%
Guyana,Medium,0.532,3.045465,2.898,0.0351,5813.23,0.022,0.77,0.0051,0.4666,0.008706,-1.01166,-0.06364,128,0.50%,161,54.84%,456,2.13%,1020,12.18%,77.49%,-72.18%
Honduras,Low,0.3,1.026491,1.025,-0.0095,2346.54,0.0347,9.27,0.0173,0.5002,0.00848,-0.18564,-0.01096,131.6,18.88%,4938.6,2.10%,1469.2,-5.10%,7381,3.58%,405.87%,2.29%
Croatia,Medium,0.626,4.015791,4.035,0.0019,13416.07,0.0149,4.17,-0.008,0.774,0.003888,0.00048,-0.03483,2147.8,3.20%,9627.2,7.87%,4022,-1.27%,16242.6,7.74%,16.50%,-3.84%
Haiti,Low,0.132,0.297515,0.304,0.0248,1392.16,0.0048,10.84,0.0135,0.6756,0.004171,0.16182,-0.00837,5.8,0,909.4,3.36%,816.4,5.02%,2025.4,11.98%,896.69%,29.71%
Hungary,Medium,0.663,4.620003,4.512,0.0275,14235.6,0.0319,9.82,-0.0024,0.6246,0.006447,-0.08977,-0.02416,4922.4,10.40%,94630.4,3.58%,11807,3.63%,84536.8,4.93%,106.08%,-82.04%
Indonesia,Low,0.442,2.126929,1.981,0.0363,3623.52,0.013,261.48,0.0123,0.939,0.004068,-0.10565,-0.00853,47966.6,-2.65%,70659.6,2.89%,34603.4,-1.83%,102241.2,2.50%,465.82%,-10.67%
India,Low,0.384,1.769726,1.692,0.0309,1777.93,0.0611,1324.31,0.011,0.844,0.002611,-0.16436,-0.01458,51259.6,-1.22%,198938.4,3.74%,157829.4,2.93%,205693.8,6.63%,475.56%,-15.89%
Ireland,Medium,0.858,7.625952,7.814,-0.0031,65800.61,0.0814,4.76,0.0103,0.7808,0.003619,-0.07144,-0.06752,2756.6,3.04%,117479.2,8.75%,7232.6,-1.84%,68839.4,15.75%,14.60%,723.46%
"Iran, Islamic Rep.",Medium,0.847,7.731029,7.711,-0.0015,4972.42,-0.1271,79.6,0.0135,0.6304,0.012294,0.03082,0.00229,48652.2,8.24%,19086,5.92%,1184.8,7.69%,31261.2,1.41%,1247.91%,2.71%
Iraq,Medium,0.689,4.897443,4.742,-0.0012,5355.59,-0.0535,36.52,0.03,0.7014,0.007177,-0.42272,-0.1181,64284.6,3.78%,77,-15.36%,4583.666667,0,32109,0,94.75%,-9.21%
Iceland,Medium,0.795,6.242124,6.243,-0.0011,63199.26,0.0749,0.34,0.0173,0.9358,0.006028,-0.27102,-0.08759,2040,4.82%,616.8,1.07%,1530.2,8.46%,3962,11.01%,196.36%,-1.45%
Israel,Medium,0.842,7.1564,7.592,-0.0362,38764.79,0.0269,8.55,0.0196,0.6576,0.007641,-0.00297,-0.01848,1563.4,5.84%,58610.2,-1.56%,9669.6,-3.11%,52515.2,3.28%,7.37%,-44.93%
Italy,Medium,0.716,5.378562,5.453,-0.0141,32724.06,-0.0088,60.62,0.0006,0.9408,0.007312,-0.01049,-0.02067,28250,-0.09%,415780,1.81%,79630.2,-2.37%,306082.4,3.54%,51.00%,-383.67%
Jamaica,Medium,0.516,2.834465,2.625,0.0143,5003.21,0.0137,2.91,0.0053,0.9122,0.002421,0.12395,0.019313,980.6,10.73%,109.4,-8.02%,1432.2,-1.84%,2976.6,5.05%,448.63%,-6.31%
Jordan,Medium,0.526,2.556719,2.671,-0.0251,4202.12,0.0125,9.49,0.0317,0.7318,0.001369,0.1744,0.057764,605,3.54%,5741.8,0.53%,4376.4,-1.42%,11211,0.65%,180.61%,-134.82%
Japan,Medium,0.9,8.910617,9.186,-0.0251,38307.21,-0.0082,126.95,-0.0014,0.8848,0.002036,0.01002,-0.00567,29129.4,-1.71%,591682,0.68%,207135.8,-3.74%,395970,1.63%,98.01%,32.03%
Kazakhstan,High,0.921,12.02378,12.15,-0.0508,10018.62,-0.0884,17.79,0.0141,0.9116,0.003305,0.01326,-0.00588,44204.8,-2.05%,7312.2,-0.53%,2950.2,-4.38%,25085.4,-6.41%,827.55%,12.87%
Kenya,Low,0.147,0.350791,0.359,0.027,1575.92,0.0541,49.05,0.0246,0.7284,-0.000272,0.39341,0.01676,740.8,27.85%,1818.6,-4.03%,3145,0.97%,10794,2.32%,649.06%,-0.52%
Kyrgyz Republic,Low,0.374,1.724579,1.646,0.0087,1214.49,0.0008,6.08,0.0203,0.6914,0.004665,-0.60868,-0.04686,237.6,24.91%,423.4,1.94%,820.6,1.59%,3131,1.97%,382.89%,114.28%
